HomeTeam,AwayTeam,Prediction
Arsenal,NottinghamForest,NA
Bournemouth,WestHam,NA
Brighton,LutonTown,NA
Everton,Fulham,1
SheffieldUnited,CrystalPalace,NA
Newcastle,AstonVilla,NA
Brentford,Tottenham,NA
Chelsea,Liverpool,1
ManchesterUnited,Wolverhampton,NA
AstonVilla,Everton,NA
CrystalPalace,Arsenal,NA
Fulham,Brentford,NA
Liverpool,Bournemouth,1
ManchesterCity,Newcastle,NA
NottinghamForest,SheffieldUnited,NA
Tottenham,ManchesterUnited,NA
WestHam,Chelsea,NA
Wolverhampton,Brighton,NA
Bournemouth,Tottenham,0
Arsenal,Fulham,1
Brentford,CrystalPalace,NA
Brighton,WestHam,NA
Burnley,AstonVilla,NA
Chelsea,LutonTown,NA
Everton,Wolverhampton,NA
ManchesterUnited,NottinghamForest,NA
Newcastle,Liverpool,0
SheffieldUnited,ManchesterCity,NA
Arsenal,ManchesterUnited,NA
Brentford,Bournemouth,NA
Brighton,Newcastle,1
Burnley,Tottenham,0
Chelsea,NottinghamForest,NA
CrystalPalace,Wolverhampton,NA
Liverpool,AstonVilla,NA
LutonTown,WestHam,NA
ManchesterCity,Fulham,NA
SheffieldUnited,Everton,NA
Bournemouth,Chelsea,0
AstonVilla,CrystalPalace,NA
Everton,Arsenal,0
Fulham,LutonTown,NA
ManchesterUnited,Brighton,NA
Newcastle,Brentford,NA
NottinghamForest,Burnley,NA
Tottenham,SheffieldUnited,NA
WestHam,ManchesterCity,NA
Wolverhampton,Liverpool,NA
Arsenal,Tottenham,1
Brentford,Everton,NA
Brighton,Bournemouth,1
Burnley,ManchesterUnited,NA
Chelsea,AstonVilla,NA
CrystalPalace,Fulham,NA
Liverpool,WestHam,NA
LutonTown,Wolverhampton,NA
ManchesterCity,NottinghamForest,NA
SheffieldUnited,Newcastle,NA
Bournemouth,Arsenal,0
AstonVilla,Brighton,NA
Everton,LutonTown,NA
Fulham,Chelsea,0
ManchesterUnited,CrystalPalace,NA
Newcastle,Burnley,1
NottinghamForest,Brentford,NA
Tottenham,Liverpool,1
WestHam,SheffieldUnited,NA
Wolverhampton,ManchesterCity,NA
Arsenal,ManchesterCity,NA
Brighton,Liverpool,0
Burnley,Chelsea,0
CrystalPalace,NottinghamForest,NA
Everton,Bournemouth,1
Fulham,SheffieldUnited,NA
LutonTown,Tottenham,NA
ManchesterUnited,Brentford,NA
WestHam,Newcastle,NA
Wolverhampton,AstonVilla,NA
Bournemouth,Wolverhampton,NA
AstonVilla,WestHam,NA
Brentford,Burnley,NA
Chelsea,Arsenal,1
Liverpool,Everton,1
ManchesterCity,Brighton,NA
Newcastle,CrystalPalace,NA
NottinghamForest,LutonTown,NA
SheffieldUnited,ManchesterUnited,NA
Tottenham,Fulham,1
Bournemouth,Burnley,1
Arsenal,SheffieldUnited,NA
AstonVilla,LutonTown,NA
Brighton,Fulham,1
Chelsea,Brentford,NA
CrystalPalace,Tottenham,NA
Liverpool,NottinghamForest,NA
ManchesterUnited,ManchesterCity,NA
WestHam,Everton,NA
Wolverhampton,Newcastle,NA
Brentford,WestHam,NA
Burnley,CrystalPalace,NA
Everton,Brighton,1
Fulham,ManchesterUnited,NA
LutonTown,Liverpool,NA
ManchesterCity,Bournemouth,NA
Newcastle,Arsenal,0
NottinghamForest,AstonVilla,NA
SheffieldUnited,Wolverhampton,NA
Tottenham,Chelsea,0
AstonVilla,Fulham,NA
Brighton,SheffieldUnited,NA
Chelsea,ManchesterCity,NA
CrystalPalace,Everton,NA
Liverpool,Brentford,NA
ManchesterUnited,LutonTown,NA
WestHam,NottinghamForest,NA
Wolverhampton,Tottenham,NA
Bournemouth,Newcastle,1
Arsenal,Burnley,1
Brentford,Arsenal,NA
Burnley,WestHam,NA
Everton,ManchesterUnited,NA
Fulham,Wolverhampton,NA
LutonTown,CrystalPalace,NA
ManchesterCity,Liverpool,NA
Newcastle,Chelsea,0
NottinghamForest,Brighton,NA
SheffieldUnited,Bournemouth,NA
Tottenham,AstonVilla,NA
Bournemouth,AstonVilla,NA
Arsenal,Wolverhampton,NA
Brentford,LutonTown,NA
Burnley,SheffieldUnited,NA
